slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T08:30:00+02:00,e56b8678-7964-4170-81b6-2c737a43fea0,2018-08-14T08:30:00+02:00,30.3,0.0106,IAA House 5,Cell Tower
2018-08-14T08:30:00+02:00,286a1315-2ef2-4aa7-9b99-88afcb11bdc9,2018-08-14T08:30:15+02:00,30.3,0.0106,IAA House 3,Cell Tower
2018-08-14T08:30:00+02:00,5b94bffc-faac-41f5-a140-7b3ee05dd0e7,2018-08-14T08:30:30+02:00,27.27,0.003800000000000001,IAA House 1,Cell Tower
2018-08-14T08:45:00+02:00,cd0592c8-fe70-4351-b252-0a3c8f933c10,2018-08-14T08:45:00+02:00,30.3,0.0126,IAA House 5,Cell Tower
2018-08-14T08:45:00+02:00,d8fc35f5-71c3-4ca2-91a4-a1150727ec2e,2018-08-14T08:45:15+02:00,30.3,0.0124,IAA House 4,Cell Tower
2018-08-14T08:45:00+02:00,2727fbab-8e06-4419-98a4-21f312cc116f,2018-08-14T08:54:15+02:00,23.028,0.0126,IAA House 3,IAA House 1
2018-08-14T09:00:00+02:00,28ecf183-07ac-4fa6-a6de-1c6d1763af79,2018-08-14T09:00:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T09:00:00+02:00,05f8a2f7-6396-4ec8-821e-c27a8af1a032,2018-08-14T09:09:15+02:00,23.028,0.0148,IAA House 3,IAA House 1
2018-08-14T09:15:00+02:00,0fad6624-0b3d-4acc-af64-071bcc87143b,2018-08-14T09:15:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T09:15:00+02:00,355748d1-10ce-4b8f-adee-eb54296fdc83,2018-08-14T09:24:15+02:00,23.028,0.0173,IAA House 3,IAA House 1
2018-08-14T09:30:00+02:00,d0e6c3fb-7af2-41ef-b88f-2b728a765308,2018-08-14T09:30:00+02:00,30.3,0.0199,IAA House 5,Cell Tower
2018-08-14T09:30:00+02:00,9cc70dba-6242-49c5-8ca7-95e7f9422312,2018-08-14T09:30:15+02:00,30.3,0.005099999999999998,IAA House 4,Cell Tower
2018-08-14T09:30:00+02:00,1eb6c8a4-1b0d-4693-b06b-746fca9d6381,2018-08-14T09:39:15+02:00,23.028,0.0199,IAA House 3,IAA House 5
2018-08-14T09:45:00+02:00,b6071aae-d914-40c6-a665-61cf2f9bf17d,2018-08-14T09:45:00+02:00,30.3,0.0226,IAA House 5,Cell Tower
2018-08-14T09:45:00+02:00,7da1b425-4387-42c7-9a39-27b27738dbf5,2018-08-14T09:45:15+02:00,30.3,0.002400000000000002,IAA House 4,Cell Tower
2018-08-14T09:45:00+02:00,1ffda3f5-370c-416a-b806-781fbfcb6dd6,2018-08-14T09:54:15+02:00,23.028,0.0226,IAA House 3,IAA House 4
2018-08-14T10:00:00+02:00,9eac471b-9a06-4837-80c5-15302708c2ac,2018-08-14T10:00:00+02:00,30.3,0.025,IAA House 3,Cell Tower
2018-08-14T10:00:00+02:00,740ff2c9-3b2a-4239-975e-a0384c8bf7b3,2018-08-14T10:09:15+02:00,23.028,0.0002999999999999982,IAA House 3,IAA House 4
2018-08-14T10:15:00+02:00,848ba74c-f480-4dbf-a2cf-8e20e9ce30ea,2018-08-14T10:15:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T10:15:00+02:00,f2e5e981-4265-4a78-8664-6d57ee39d0d9,2018-08-14T10:24:15+02:00,23.028,0.0281,IAA House 3,IAA House 1
2018-08-14T10:30:00+02:00,cfa54e35-212f-40b2-8e54-941d49d390a2,2018-08-14T10:30:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T10:30:00+02:00,03f4e4c0-aa8f-40f9-b561-1f8f83c7e04d,2018-08-14T10:39:15+02:00,23.028,0.0308,IAA House 3,IAA House 5
2018-08-14T10:45:00+02:00,532a6238-2fd5-4038-8723-684b17140e6c,2018-08-14T10:45:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T10:45:00+02:00,62c0f898-c0e9-477a-9ef0-79abc44b4cf6,2018-08-14T10:54:15+02:00,23.028,0.0333,IAA House 3,IAA House 5
2018-08-14T11:00:00+02:00,cacf0fe9-a15e-4f17-ba11-d88c0d9c118c,2018-08-14T11:00:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T11:00:00+02:00,d4ce09dc-4889-445a-89c1-32f2dae5664d,2018-08-14T11:09:15+02:00,23.028,0.0357,IAA House 3,IAA House 4
2018-08-14T11:15:00+02:00,0a074b33-ce76-46b1-be47-4115fe0a1a52,2018-08-14T11:15:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T11:15:00+02:00,b763f4cf-fc28-4e95-ab6e-0f715298d539,2018-08-14T11:24:15+02:00,23.028,0.0377,IAA House 3,IAA House 1
2018-08-14T11:15:00+02:00,0b8068f3-fb6e-4091-8396-4ebcec8235ef,2018-08-14T11:24:15+02:00,23.028,0.08809999999999998,IAA House 4,IAA House 5
2018-08-14T11:30:00+02:00,bdd07f09-eaf1-4014-aa3d-9d1def66e6a7,2018-08-14T11:30:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T11:30:00+02:00,7363b464-b819-499f-afb5-fce088281daf,2018-08-14T11:39:15+02:00,23.028,0.09290000000000001,IAA House 4,IAA House 1
2018-08-14T11:30:00+02:00,b21ad794-0f67-4c0d-9ad4-3e0dff18e9d7,2018-08-14T11:39:15+02:00,23.028,0.0393,IAA House 3,IAA House 5
2018-08-14T11:45:00+02:00,36beb05d-03a0-452e-8c7b-f0b30655f6b2,2018-08-14T11:45:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T11:45:00+02:00,d8e88211-f017-4d9d-b129-7ee98db56e7a,2018-08-14T11:54:15+02:00,23.028,0.12179999999999999,IAA House 4,IAA House 5
2018-08-14T11:45:00+02:00,24424a7a-885c-4497-a7b1-52e313ea14a8,2018-08-14T11:54:15+02:00,23.028,0.0406,IAA House 3,IAA House 5
2018-08-14T12:00:00+02:00,3b85547a-a12a-4411-95e2-1c5806146a42,2018-08-14T12:00:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T12:00:00+02:00,6159c148-ddf7-4415-9f89-1af0a1a66301,2018-08-14T12:00:00+02:00,30.3,0.016300000000000002,IAA House 5,IAA House 2
